City_ID,City,Country,Date,Temperature,Latitude,Longtude,Humidity,Wind speed,Cloudiness
130,Boulder,US,1565234202,69.42,40.02,-105.27,44,3.36,90
131,Mackay,CA,1565234467,62.35,53.65,-115.58,100,6.93,90
132,Tuktoyaktuk,CA,1565234385,39.2,69.44,-133.03,93,14.99,90
133,Castro,CL,1565234468,37.4,-42.48,-73.76,93,5.82,75
134,Koslan,RU,1565234468,43.25,63.46,48.9,96,9.69,100
135,Olga,US,1565234468,69.96,34.11,-118.17,77,8.05,20
136,Ormara,PK,1565234468,81.84,25.21,64.64,78,3.2,0
137,Jamestown,AU,1565234469,47.87,-33.21,138.6,72,20.89,68
138,Klyuchi,RU,1565234469,70.98,52.25,79.17,41,12.97,0
139,Roxana,CR,1565234469,66.45,10.27,-83.75,94,5.82,0
140,Dubbo,AU,1565234470,66.2,-32.25,148.6,29,25.28,40
141,Lexington,US,1565234470,70.12,38.05,-84.5,69,0.96,1
142,Portland,US,1565234364,69.24,43.66,-70.25,88,11.41,90
143,Severo-Kurilsk,RU,1565234436,49.83,50.68,156.12,90,20.58,100
144,Belyy Yar,RU,1565234471,73.4,53.6,91.39,78,4.47,0
145,Dingle,PH,1565234471,81.44,11,122.67,80,23.24,100
146,Vaini,IN,1565234472,71.6,15.34,74.49,94,20.8,90
147,Thompson,CA,1565234472,53.6,55.74,-97.86,93,5.82,75
148,Almaznyy,RU,1565234459,57.2,48.03,40.04,87,4.47,0
149,Kruisfontein,ZA,1565234472,50.18,-34,24.73,64,19.73,20
150,Urusha,RU,1565234473,80.94,54.05,122.9,32,3.47,0
151,Santa Maria,BR,1565234473,60.8,-16.02,-48.01,67,2.24,0
152,Ust-Kuyga,RU,1565234473,66.84,70,135.55,49,7.4,58
153,Pathein,MM,1565234474,81.68,16.78,94.73,86,13.96,100
154,Waipawa,NZ,1565234474,57,-39.94,176.59,65,10,37
155,Warmbad,DE,1565234475,55.44,50.67,13.08,93,3.36,75
156,Geraldton,CA,1565234475,60.8,49.72,-86.95,63,4.7,20
157,Kutum,SD,1565234475,72.62,14.2,24.66,67,6.87,100
158,Dikson,RU,1565234476,49.85,73.51,80.55,83,13.94,100
159,Aklavik,CA,1565234476,44.6,68.22,-135.01,81,6.93,90
160,Provideniya,RU,1565234476,50,64.42,-173.23,87,17.9,40
161,Camacupa,AO,1565234476,59.73,-12.02,17.48,50,5.26,19
162,Fort Nelson,CA,1565234477,57.2,58.81,-122.69,62,11.41,75
163,Constitucion,MX,1565234477,67.8,23.99,-104.67,77,2.24,40
164,Nabire,ID,1565234477,83.8,-3.36,135.5,60,4.05,54
165,Loukhi,RU,1565234477,48.23,66.08,33.04,89,2.77,55
166,Yerbogachen,RU,1565234478,77.43,61.28,108.01,43,5.28,16
167,Mexico,US,1565234425,73.6,39.17,-91.88,78,3.36,1
168,Saint George,GR,1565234478,66.2,39.45,22.34,77,3.36,0
169,Hadejia,NG,1565234479,73.14,12.45,10.04,85,10.31,100
170,Yellowknife,CA,1565234479,57.2,62.45,-114.38,62,6.93,90
171,Cadereyta,MX,1565234479,78.24,25.58,-99.98,52,17.22,5
172,Trelleborg,SE,1565234480,58.01,55.38,13.15,93,4.7,0
173,Sitka,US,1565234480,85.05,37.17,-99.65,52,8.01,91
174,Sao Domingos,BR,1565234480,68.5,-13.4,-46.32,47,8.1,0
175,Komsomolskiy,RU,1565234481,53.56,67.55,63.78,75,17.43,0
176,Santa Elena,EC,1565234362,68,-2.23,-80.86,88,9.86,90
177,Obo,CF,1565234481,66.66,5.39,26.49,97,2.1,44
178,Narsaq,GL,1565234481,44.6,60.91,-46.05,75,3.36,98
179,Guerrero Negro,MX,1565234482,66.45,27.97,-114.04,89,14.83,0
180,Hambantota,LK,1565234407,75.2,6.12,81.12,100,3.36,90
181,Comodoro Rivadavia,AR,1565234452,42.8,-45.87,-67.48,48,14.99,0
182,Naze,NG,1565234408,72.75,5.43,7.07,95,2.91,100
183,Avanigadda,IN,1565234214,82.4,16.02,80.92,78,5.82,75
184,Jumla,NP,1565234483,65.6,29.28,82.18,70,2.39,96
185,Trincomalee,LK,1565234483,80.36,8.58,81.23,76,12.12,100
186,Buraydah,SA,1565234484,78.8,26.33,43.97,34,6.93,0
187,Vao,EE,1565234484,53.2,59.1,26.19,96,4.79,7
188,Surt,LY,1565234484,79.88,31.21,16.59,70,9.86,0
189,Morehead,US,1565234484,69.55,38.18,-83.43,94,4.7,1
190,Abu Dhabi,AE,1565234485,88.66,24.47,54.37,84,4.7,64
191,Coihaique,CL,1565234485,35.42,-45.58,-72.07,64,3.36,0
192,Saint-Augustin,CA,1565234485,70.5,45.63,-73.98,100,1.52,75
